Symbol,Date,NewsSentiment,Signal_strength,Close,High,Low,Resistance,Support,52High,52Low,Trend,Alpha,Beta,Bucket
INOXWIND.ns,2023-06-23,0.0,0.31,151.9,155.0,148.05,164.5,110.8,164.5,91.35,Bullish,1,1,NiftyMicroCap250
MOTHERSON.NS,2023-06-23,0.0,0.25,83.1,84.7,81.35,85.85,78.35,85.85,62.1,Bullish,0.001284448827113456,1.5644862108183044,Nifty100
ZYDUSLIFE.ns,2023-06-23,0.0,0.56,557.1,561.3,547.9,560.1,484.95,560.1,392.25,Bullish,0.003585968190351525,0.48659966265562177,NIFTYMIDCAP100
ISGEC.ns,2023-06-23,0.0,0.25,670.3,682.0,662.05,679.35,479.05,679.35,422.5,Bullish,1,1,NiftyMicroCap250
SIEMENS.NS,2023-06-23,0.0,0.38,3675.7,3705.9,3640.1,3829.4,3314.05,3891.2,2745.45,Bullish,0.001945789712929549,1.6536412703615084,Nifty100
JKIL.ns,2023-06-23,0.0,0.25,296.8,311.0,295.05,315.0,253.05,315.0,218.15,Bullish,1,1,NiftyMicroCap250
JTEKTINDIA.ns,2023-06-23,0.0,0.38,142.0,144.65,137.75,143.85,116.25,167.15,96.2,Bullish,1,1,NiftyMicroCap250
TATACONSUM.NS,2023-06-23,0.0,0.44,840.85,846.2,831.65,865.0,760.2,865.0,687.55,Bullish,0.0025084836743126397,2.090010890974047,Nifty100
JINDALPOLY.ns,2023-06-23,0.0,0.25,666.0,673.2,657.45,708.85,651.0,882.75,489.7,Bullish,1,1,NiftyMicroCap250
JINDALSAW.ns,2023-06-23,0.0,0.25,230.25,235.9,228.3,247.65,187.55,247.65,77.8,Bullish,1,1,NiftyMicroCap250
MCDOWELL-N.NS,2023-06-23,0.0,0.44,906.6,909.0,888.35,909.35,812.0,941.85,735.65,Bullish,0.002347840443419833,0.26670004014122173,Nifty100
JWL.ns,2023-06-23,0.0,0.25,149.45,155.8,148.9,155.75,112.9,155.75,71.8,Bullish,1,1,NiftyMicroCap250
KKCL.ns,2023-06-23,0.0,0.31,537.65,540.0,526.55,537.65,480.45,556.55,377.65,Bullish,1,1,NiftyMicroCap250
KIRLOSBROS.ns,2023-06-23,0.0,0.25,576.85,596.05,564.2,612.8,530.55,612.8,294.7,Bullish,1,1,NiftyMicroCap250
KOLTEPATIL.ns,2023-06-23,0.0,0.25,326.95,332.95,321.7,346.0,278.0,377.8,232.2,Bullish,1,1,NiftyMicroCap250
KRSNAA.ns,2023-06-23,0.0,0.25,566.55,583.9,558.25,591.1,495.85,591.1,360.4,Bullish,1,1,NiftyMicroCap250
LGBBROSLTD.ns,2023-06-23,0.0,0.38,1040.1,1063.85,933.65,1040.1,778.05,1040.1,652.5,Bullish,1,1,NiftyMicroCap250
DAAWAT.ns,2023-06-23,0.0,0.38,129.65,134.7,129.0,135.6,112.8,135.6,90.6,Bullish,1,1,NiftyMicroCap250
LAOPALA.ns,2023-06-23,0.0,0.5,425.45,432.0,421.15,449.8,370.85,449.8,332.6,Bullish,1,1,NiftyMicroCap250
LANDMARK.ns,2023-06-23,0.0,0.38,717.15,730.0,685.0,730.15,656.45,730.15,445.2,Bullish,1,1,NiftyMicroCap250
MASFIN.ns,2023-06-23,0.0,0.25,776.8,795.0,767.7,789.8,723.7,929.75,687.4,Bullish,1,1,NiftyMicroCap250
MOIL.ns,2023-06-23,0.0,0.56,163.6,164.5,159.3,164.8,151.55,172.5,141.25,Bullish,1,1,NiftyMicroCap250
MSTCLTD.ns,2023-06-23,0.0,0.56,349.65,358.4,336.95,352.55,304.25,352.55,240.0,Bullish,1,1,NiftyMicroCap250
MAHSCOOTER.ns,2023-06-23,0.0,0.25,5429.6,5520.0,5401.3,5478.25,4878.85,5502.85,4102.25,Bullish,1,1,NiftyMicroCap250
MAHSEAMLES.ns,2023-06-23,0.0,0.31,476.45,489.7,470.0,487.0,426.35,487.0,286.5,Bullish,1,1,NiftyMicroCap250
MANINFRA.ns,2023-06-23,0.0,0.25,115.7,119.15,115.0,115.9,90.15,115.9,66.65,Bullish,1,1,NiftyMicroCap250
MARKSANS.ns,2023-06-23,0.0,0.56,92.8,93.35,89.0,94.95,70.55,94.95,47.7,Bullish,1,1,NiftyMicroCap250
MAYURUNIQ.ns,2023-06-23,0.0,0.31,496.1,499.8,488.25,530.2,448.05,530.2,400.05,Bearish,1,1,NiftyMicroCap250
MOL.ns,2023-06-23,0.0,0.31,91.0,93.2,90.05,91.0,80.5,121.0,76.5,Bullish,1,1,NiftyMicroCap250
MINDACORP.ns,2023-06-23,0.0,0.25,282.1,286.8,280.35,298.4,270.55,298.4,189.45,Bullish,1,1,NiftyMicroCap250
